"","Network","Show_Name","Season_num","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1","BRVO","BELOW DECK",1,-0.943994080902826,-0.944379046012394,-0.945144617911106,-0.946282099960203,-0.947778497125065,-0.949616575654979,-0.95177494227641,-0.954228142576169,-0.956946778172467,-0.959897642194922,-0.963043872519634,-0.966345122132705,-0.969757745925289,-0.973235003155758,-0.976727274750182,-0.980182294551081,-0.9835453935669,-0.986759756220754,-0.989766687547202,-0.992505890240129,-0.994915750413543,-0.996933630900364,-0.998496170882195,-0.999539590615841,-1,-0.999813709708253,-0.998917543602228,-0.997249151131733,-0.994747318426711,-0.991352276789111,-0.987006007301162,-0.981652540280083,-0.975238248327851,-0.967712131748288,-0.959026095132241,-0.949135213944988,-0.937997989987974,-0.925576594649593,-0.911837098906528,-0.896749689088337,-0.880288867472938,-0.862433636839513,-0.843167668167637,-0.822479450737106,-0.800362423951534,-0.776815090280222,-0.751841108786658,-0.725449368788059,-0.697654043268321,-0.668474621746239,-0.637935922381643,-0.606068083183825,-0.572906532268958,-0.538491937195878,-0.502870133492165,-0.466092032564774,-0.428213509270988,-0.389295269506085,-0.349402698243326,-0.308605688539536,-0.266978452095179,-0.224599312031325,-0.181550478616766,-0.137917808746687,-0.0937905500392744,-0.0492610704783641,-0.00442457458831724,0.0406211928184115,0.0857762542302576,0.130938717225314,0.176005101281497,0.220870672392636,0.265429784242754,0.309576224663259,0.353203566075322,0.396205518602222,0.438476284524101,0.479910912740465,0.520405651903729,0.559858300890447,0.598168555285268,0.635238348566319,0.670972186699485,0.705277474872796,0.738064835130978,0.769248413703735,0.798746176859711,0.826480194160939,0.85237690803985,0.87636738867244,0.898387573176687,0.918378488224598,0.936286455219181,0.952063277253795,0.965666407140578,0.977059095866743,0.98621052091203,0.993095893937414,0.997696547433831,1
"2","BRVO","BELOW DECK",2,-1,-0.997029410740481,-0.991097781534917,-0.98222417546919,-0.970437098457625,-0.955774393171847,-0.938283098254754,-0.918019273366766,-0.895047790744258,-0.869442094080189,-0.841283925663785,-0.810663022839384,-0.777676784963563,-0.742429912154087,-0.705034017233531,-0.665607212374252,-0.624273672049245,-0.581163173985015,-0.53641061989753,-0.490155537870174,-0.442541568303308,-0.39371593542802,-0.343828906431857,-0.293033240291522,-0.241483628446396,-0.189336129477337,-0.136747599977226,-0.0838751238132158,-0.0308754419854451,0.0220956147168352,0.0748836880732409,0.127336447636923,0.179304136648047,0.230640106556151,0.281201338097633,0.330848946928828,0.379448671877194,0.426871343942792,0.472993334259182,0.51769697930684,0.560870981762843,0.602410785467542,0.642218923091808,0.68020533519691,0.716287659492563,0.750391489216874,0.782450599684279,0.812407142173602,0.840211804457645,0.865823937407639,0.889211647240034,0.91035185310886,0.929230309883728,0.945841596091018,0.960189067133207,0.972284774038256,0.982149348126811,0.989811852119297,0.995309598337074,0.998687934781364,1,0.999306447774708,0.996675142780196,0.992180828480269,0.985904768635058,0.977934363896841,0.96836274506947,0.957288344697599,0.944814448736535,0.931048730131141,0.916102766202572,0.900091541804404,0.883132940264749,0.865347224177909,0.846856508147902,0.827784225616663,0.808254591931671,0.788392065821155,0.768320811449893,0.748164163224733,0.728044095506623,0.708080699364904,0.688391668480201,0.669091796264455,0.650292486220611,0.632101277510477,0.614621387637456,0.597951274081407,0.582184216646326,0.567407922197777,0.553704153376814,0.541148382780474,0.529809473996492,0.519749390771865,0.51102293548186,0.503677517948376,0.497752955534726,0.493281305318419,0.490286729014808,0.488785391193159
"3","BRVO","BELOW DECK",3,-1,-0.996651353402304,-0.989965774868763,-0.979966648971888,-0.966688940867604,-0.950179062741585,-0.930494696551837,-0.907704573761281,-0.881888212922321,-0.853135616140335,-0.821546925603839,-0.787232041525283,-0.750310202987295,-0.710909533334218,-0.669166551887283,-0.625225653893351,-0.579238560741128,-0.531363742594783,-0.481765815702459,-0.430614916735786,-0.378086056605914,-0.32435845628132,-0.269614867202454,-0.214040878947879,-0.157824216855716,-0.101154032342691,-0.0442201886907913,0.0127874549116458,0.0696797582817572,0.126269011319391,0.182369638478363,0.237798893887361,0.292377544413961,0.345930538013634,0.398287654764601,0.44928413805846,0.498761303495648,0.546567123123464,0.592556782752418,0.636593210193522,0.678547572374544,0.718299739416585,0.755738713883276,0.790763023552804,0.823281076207365,0.85321147508493,0.880483293793787,0.905036309650628,0.926821194567247,0.945799662778696,0.961944574876202,0.975239997780724,0.985681220466977,0.993274725422411,0.998038116000285,1,0.999199829980469,0.995687700982909,0.989524106507312,0.980779653751359,0.969534739281028,0.955879186457924,0.939911846098958,0.921740161988636,0.901479703002467,0.879253663731259,0.855192335619824,0.829432550749367,0.802117100500166,0.773394131429603,0.743416520789775,0.71234123418856,0.680328667967608,0.647541978930271,0.614146404101487,0.580308573240077,0.546195816851556,0.511975472466357,0.477814191954159,0.443877252639904,0.410327874970976,0.377326549458087,0.345030375574611,0.313592415250826,0.283161063540648,0.253879438969512,0.22588479599309,0.199307961908029,0.174272800458098,0.150895704272446,0.129285118157588,0.109541095141581,0.0917548870382519,0.0760085711617204,0.0623747146773761,0.050916077925546,0.0416853578988463,0.0347249728943151,0.0300668891974896,0.0277324904882581
"4","BRVO","BELOW DECK",4,1,0.998256574388637,0.994773682839384,0.989559231954671,0.98262504982431,0.973986847981572,0.963664170898544,0.951680333208734,0.93806234489049,0.922840824689572,0.906049902102757,0.887727108286806,0.867913256298057,0.846652311107292,0.823991249872195,0.799979912985502,0.774670846450722,0.748119136168939,0.720382234749572,0.691519781484971,0.661593416153206,0.630666587335387,0.598804355953069,0.566073194747867,0.532540784439137,0.498275807306474,0.463347738951755,0.427826639000564,0.391782941504969,0.355287245808804,0.318410108632893,0.281221838130981,0.243792290657564,0.206190670976437,0.168485336623528,0.130743607119636,0.0930315787080933,0.0554139452691136,0.0179538260369148,-0.0192873992824121,-0.0562502474246839,-0.092877279978002,-0.129113242789217,-0.164905195902448,-0.200202633603809,-0.234957594186303,-0.269124759090081,-0.302661541115753,-0.335528161452066,-0.367687715303819,-0.399106225951149,-0.429752687117249,-0.459599093567823,-0.488620459912068,-0.516794827621533,-0.544103260329503,-0.570529827519653,-0.596061576758183,-0.620688494668456,-0.644403456891147,-0.667202167315738,-0.689083086910924,-0.710047352521759,-0.730098686040156,-0.749243294392405,-0.767489760822618,-0.784848927984277,-0.801333773383207,-0.816959277744235,-0.831742286900413,-0.845701367827782,-0.85885665947035,-0.871229719018875,-0.882843364323413,-0.893721513133112,-0.903889019867467,-0.913371510631176,-0.922195217189726,-0.930386810624974,-0.937973235389195,-0.944981544472419,-0.951438736391286,-0.957371594698263,-0.96280653069785,-0.96776943004138,-0.972285503854394,-0.976379145030197,-0.980073790300379,-0.983391788667764,-0.986354276759575,-0.98898106162871,-0.991290511499,-0.993299454916301,-0.99502308873141,-0.996474895303228,-0.997666569271441,-0.998607954207489,-0.999306989410776,-0.999769667074289,-1
"5","BRVO","BLOOD SWEAT HEELS",1,-1,-0.997367878109487,-0.992111427078597,-0.984246204214159,-0.973795475101548,-0.960790129458905,-0.945268569448199,-0.927276570873859,-0.906867117804178,-0.884100211253065,-0.859042652659652,-0.831767803000249,-0.802355318460883,-0.770890863688715,-0.737465803726767,-0.702176875818127,-0.665125842342899,-0.62641912622336,-0.586167430199677,-0.544485341439955,-0.501490923004095,-0.457305293730651,-0.412052198159439,-0.365857568139959,-0.318849077806384,-0.271155693624222,-0.222907221231105,-0.174233850805122,-0.125265702697973,-0.0761323750674812,-0.0269624952344024,0.0221167235278852,0.0709799180852324,0.119504002760163,0.167568586255009,0.215056376603307,0.26185357262051,0.307850240379682,0.352940673298081,0.397023734486312,0.440003180082854,0.481787962372659,0.522292511569294,0.561436995225085,0.599147554322738,0.63535651519463,0.670002576511968,0.703030970684866,0.734393599115851,0.764049140852838,0.79196313429288,0.818108031694549,0.84246322636423,0.865015052489503,0.885756757700688,0.904688448549153,0.921817009197656,0.937155993723433,0.950725492538557,0.962551973533752,0.972668098651155,0.981112516687823,0.987929633225005,0.993169358667654,0.996886835464268,0.999142145658428,1,0.999529409915784,0.997803343705849,0.994898368392935,0.990894278707585,0.985873714741236,0.979921769842704,0.973125590370657,0.965573968945214,0.957356932865953,0.948565329380966,0.939290409502417,0.929623412067947,0.919655149744552,0.909475598661982,0.899173493346501,0.888835928602903,0.878547969963295,0.86839227428525,0.858448722039752,0.848794062781111,0.839501575236754,0.830640743394905,0.822276949902744,0.814471188017017,0.807279793273523,0.80075419596169,0.794940695406016,0.789880256967574,0.78560833258679,0.782154705593246,0.77954336041006,0.777792377679646,0.776913855234842
"6","BRVO","BLOOD SWEAT HEELS",2,-1,-0.996496714976438,-0.989502805988234,-0.979043546335336,-0.965156724114464,-0.947892496530789,-0.927313196537116,-0.903493092559149,-0.876518102249439,-0.846485461392945,-0.813503349262982,-0.777690471897149,-0.739175604927771,-0.698097097759924,-0.654602341041603,-0.608847199514394,-0.560995412468569,-0.511217964153371,-0.459692426610793,-0.406602277508978,-0.352136195649063,-0.296487336906433,-0.239852593443595,-0.182431839097015,-0.124427163893872,-0.066042100696744,-0.00748084700440232,0.0510525150448033,0.109354797414216,0.167224480607796,0.224462480777424,0.280872906499004,0.336263802259235,0.390447875748083,0.44324320611653,0.494473930434912,0.543970905673818,0.59157234362664,0.637124416300219,0.680481829417062,0.721508361798922,0.760077368536624,0.796072245994337,0.829386856847471,0.859925913511475,0.887605318483267,0.912352460287401,0.934106463894458,0.952818394659067,0.96845141500852,0.980980893299571,0.99039446444985,0.996692042140704,0.999885782579428,1,0.99707103427183,0.991147071174989,0.982287916087024,0.970564722010191,0.956059673047934,0.93886562461504,0.919085701836357,0.896832857753712,0.872229393118929,0.845406439702082,0.816503409187706,0.785667409867085,0.753052633461319,0.7188197145273,0.683135065006368,0.646170186572964,0.608100963527638,0.569106939054879,0.529370577731298,0.489076517223225,0.448410812154761,0.407560173157489,0.366711204131283,0.326049640751949,0.285759593255673,0.246022796512556,0.207017870371859,0.168919593220187,0.13189819164077,0.0961186489975285,0.0617400356919795,0.0289148637545464,-0.0022115316652106,-0.0315015814520566,-0.0588260399817501,-0.0840645086665404,-0.107105923510005,-0.127849004734842,-0.146202666697974,-0.162086386465146,-0.175430529581433,-0.186176631744123,-0.194277635259558,-0.199698079345109,-0.202414243520721
"7","BRVO","FASHION QUEENS",1,-0.57550031014471,-0.576827974464737,-0.579475762535261,-0.583428625247102,-0.58866406888254,-0.595152250690866,-0.602856105724472,-0.611731504425976,-0.621727440333287,-0.632786247148469,-0.644843844298157,-0.657830009998681,-0.671668680728321,-0.686278275902761,-0.701572046448267,-0.717458445870601,-0.733841522326971,-0.750621330123258,-0.767694358980166,-0.784953979339806,-0.802290901918967,-0.819593649657206,-0.836749040157102,-0.853642676670749,-0.870159445651081,-0.886184018858939,-0.901601357997115,-0.916297219830967,-0.930158659751699,-0.943074531742943,-0.954935982724006,-0.96563693926385,-0.975074584688619,-0.983149824642037,-0.989767739202358,-0.994838019711289,-0.99827538852956,-1,-0.999937820972163,-0.998020989322177,-0.994188148987447,-0.988384760127622,-0.980563383120671,-0.970683935205396,-0.958713918689015,-0.944628619750111,-0.928411276982707,-0.910053218946247,-0.889553970108161,-0.866921324690119,-0.842171388055543,-0.815328585403793,-0.786425637665453,-0.755503504622471,-0.722611295406345,-0.68780614665637,-0.651153068747775,-0.612724760625841,-0.572601393906288,-0.530870367023937,-0.487626030330255,-0.442969383155623,-0.397007743963354,-0.349854394829377,-0.301628201583537,-0.252453211045293,-0.202458226877889,-0.151776365670342,-0.100544594935616,-0.0489032547858026,0.00300443488941093,0.0550328798562378,0.107034627646575,0.158860892364925,0.210362086177648,0.261388355442,0.311790119412567,0.361418609451122,0.410126406662296,0.457767975882127,0.504200193959243,0.54928287028926,0.592879257591846,0.634856550956526,0.67508637322788,0.713445244852721,0.749815036371327,0.784083401801302,0.816144191236095,0.845897841060218,0.873251740269481,0.898120571476826,0.920426625282117,0.940100086787272,0.957079293145879,0.971310961148623,0.982750383961908,0.991361596256589,0.997117507086319,1
"8","BRVO","FASHION QUEENS",2,-1,-0.997558680344893,-0.992682919273611,-0.985386448839114,-0.975689806152304,-0.963620260481791,-0.949211716489186,-0.932504593971087,-0.913545684568989,-0.892387985996617,-0.869090514420242,-0.843718095711203,-0.816341136370593,-0.787035375003773,-0.755881615296573,-0.722965441515523,-0.688376917620989,-0.652210271144261,-0.61456356303739,-0.575538344757561,-0.535239303895805,-0.493773899702821,-0.451251989902251,-0.407785450213992,-0.363487788036712,-0.318473751759718,-0.27285893718951,-0.226759392585785,-0.180291223805178,-0.133570201048759,-0.086711368701176,-0.0398286597353482,0.00696548386302887,0.0535604832223278,0.0998479858652286,0.145722218780854,0.191080329968917,0.235822717182886,0.27985334265091,0.32308003260978,0.365414760548251,0.406773913121351,0.447078537766661,0.486254571126612,0.524233047457411,0.560950286284875,0.596348058649999,0.630373731372116,0.662980388844722,0.694126931968098,0.723778153913376,0.75190479250433,0.778483559095617,0.803497143918946,0.826934197961519,0.848789291533554,0.869062849773502,0.887761065430276,0.904895789351134,0.920484399191345,0.934549646947215,0.947119485996957,0.958226878414079,0.967909583395031,0.976209927716491,0.983174559207666,0.988854184288985,0.993303290690333,0.996579856519267,0.998745046902325,0.999862899470168,1,0.999225149566034,0.997609024580755,0.995223831136181,0.992142955075133,0.988440609237631,0.984191479336886,0.979470369922882,0.97435185188928,0.968909912971295,0.963217612668356,0.957346743005783,0.95136749652456,0.945348142857513,0.939354715214112,0.93345070805471,0.927696787188512,0.922150513478221,0.916866081278132,0.911894072671906,0.907281228511388,0.903070237189034,0.899299542003957,0.89600316790571,0.893210568320795,0.890946492685053,0.889230875220762,0.888078745410726,0.88750016053341
"9","BRVO","FASHION QUEENS",3,0.80105579177945,0.797406784567205,0.790123461648306,0.779235147766545,0.764785684599375,0.746833256875783,0.725450161603653,0.70072252131852,0.672749942486778,0.641645120413173,0.607533392213782,0.570552239620949,0.53085074358487,0.488588992827067,0.443937448682966,0.397076268743564,0.348194591969057,0.297489788099577,0.245166674329372,0.191436702340188,0.136517118906869,0.0806301033926695,0.0240018855432957,-0.0331381529333892,-0.0905583894508174,-0.148025880688947,-0.205307288163922,-0.262169805563205,-0.318382084180025,-0.373715152788325,-0.427943328321117,-0.480845113751267,-0.53220407962408,-0.581809725755379,-0.629458319686903,-0.674953708582412,-0.718108101352577,-0.758742817914054,-0.796689002617735,-0.831788299022461,-0.863893483342894,-0.892869054063249,-0.918591775381462,-0.940951172330526,-0.959849975614301,-0.975204514393509,-0.986945055463008,-0.995016087472869,-0.999376549062714,-1,-0.996874734637899,-0.990003837236006,-0.979405178916545,-0.965111356259085,-0.947169571767088,-0.925641456669053,-0.900602836744608,-0.872143442090781,-0.840366561964989,-0.805388646058054,-0.767338853762066,-0.72635855320318,-0.682600772007814,-0.636229601961221,-0.587419559899528,-0.536354907349114,-0.483228931590153,-0.428243190973455,-0.371606727460989,-0.313535249489946,-0.254250288377411,-0.193978331587375,-0.132949936273181,-0.0713988265866082,-0.00956097830895575,0.0523263055902714,0.11402532482547,0.175298913434639,0.235911369516282,0.295629379400419,0.354222932612426,0.411466224024436,0.467138539639509,0.521025122518028,0.572918015434004,0.622616876940525,0.669929767628282,0.71467390347855,0.756676373341517,0.795774817712295,0.831818066129328,0.86466673068301,0.894193753295274,0.920284904613033,0.942839232549123,0.961769458702773,0.9770023210971,0.988478861882661,0.996154658873067,1
"10","BRVO","GGD",1,-1,-0.99677679035198,-0.990341343219468,-0.980715561352839,-0.967932195098322,-0.952034718316839,-0.933077163697248,-0.911123918107145,-0.886249478780405,-0.858538171293521,-0.82808383043192,-0.794989445192269,-0.759366769306651,-0.721335898808935,-0.681024818292145,-0.638568917627573,-0.594110481031402,-0.54779815047218,-0.499786365512208,-0.450234781767436,-0.39930767025332,-0.347173299958122,-0.294003306049869,-0.239972046178515,-0.185255947380452,-0.130032846128291,-0.0744813240945853,-0.0187800422138189,0.0368929243675171,0.0923607478676294,0.147448503402629,0.201983815930927,0.255797496098449,0.308724162519149,0.360602848079788,0.411277587921948,0.460597986827449,0.508419763815458,0.554605271850317,0.59902399065809,0.641552990756667,0.682077366918504,0.720490639406333,0.756695121449895,0.790602251565507,0.822132889459443,0.85121757440024,0.877796745093518,0.90182092024508,0.923250839153512,0.942057561831367,0.958222528313924,0.971737576975635,0.982604921836178,0.990837088999867,0.996456812533378,0.999496890246659,1,0.998018477315743,0.993614055225547,0.986857567432829,0.977828616014353,0.966615205024475,0.95331334149958,0.938026605488376,0.920865690855356,0.90194791871939,0.881396725496764,0.859341127617411,0.835915165074358,0.81125732604912,0.78550995492954,0.758818646101202,0.731331625948692,0.703199125548529,0.674572746571179,0.645604822935373,0.616447780773452,0.58725349927203,0.558172674947536,0.529354191901414,0.500944500574836,0.473087007487931,0.445921478403828,0.419583457303394,0.394203703492786,0.369907649092872,0.346814879077682,0.325038635938564,0.304685350951967,0.285854203922273,0.268636713157124,0.253116357311777,0.23936823061166,0.22745873282892,0.217445295249977,0.209376143727386,0.20329009976128,0.199216420403941,0.197174677626087
