"","Network","Show_Name","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1","BRVO","BELOW DECK",1,0.998816476195439,0.99645117858315,0.992907603132878,0.988190983752446,0.982308280268054,0.975268162458641,0.967080990195918,0.957758789754325,0.947315226367431,0.93576557311931,0.923126676271149,0.909416917134684,0.894656170614899,0.878865760554983,0.862068412026389,0.844288200716331,0.825550499573928,0.805881922884408,0.785310267948478,0.763864454550911,0.74157446240873,0.718471266794924,0.694586772538553,0.669953746606186,0.644605749473024,0.618577065494668,0.591902632492308,0.564617970765225,0.536759111744697,0.508362526502985,0.479465054329745,0.450103831586174,0.420316221044429,0.39013974191624,0.359612000770445,0.328770623534085,0.297653188766086,0.266297162386169,0.234739834034634,0.203018255231055,0.171169179491762,0.139229004557197,0.107233716871053,0.075218838443307,0.0432193762191604,0.0112697740653096,-0.0205961325259215,-0.0523451589252676,-0.0839448109702198,-0.11536332161755,-0.146569684590452,-0.17753368497799,-0.208225926756678,-0.238617857216069,-0.268681788282385,-0.298390914746152,-0.327719329411768,-0.356642035198692,-0.385134954235408,-0.413174933998693,-0.44073975056167,-0.467808109024787,-0.494359641214165,-0.520374900741594,-0.545835355529906,-0.570723377916286,-0.595022232454596,-0.618716061545472,-0.641789869030321,-0.664229501891889,-0.686021630210095,-0.707153725527132,-0.727614037780502,-0.747391570966563,-0.766476057700418,-0.784857932840489,-0.802528306347871,-0.819478935551631,-0.835702196991489,-0.851191058008913,-0.865939048256451,-0.879940231293276,-0.893189176432242,-0.905680931000494,-0.917410993171605,-0.92837528552259,-0.938570129463753,-0.94799222068342,-0.956638605743022,-0.964506659950849,-0.971594066635164,-0.977898797929117,-0.983419097171313,-0.988153463016745,-0.992100635343307,-0.995259583029281,-0.997629493667009,-0.999209765267488,-1
"2","BRVO","BLOOD SWEAT HEELS",1,0.998773803349969,0.996323328456969,0.992652407446554,0.987766776801294,0.981674063357643,0.9743837657079,0.965907231069308,0.956257627697413,0.945449912935571,0.933500797006966,0.920428702669491,0.906253720867458,0.89099756252718,0.874683506655964,0.857336344916048,0.838982322856209,0.819649077994445,0.799365574954966,0.778162037871848,0.756069880280023,0.733121632721759,0.709350868303445,0.684792126443228,0.659480835054935,0.633453231417654,0.606746281983371,0.579397601377167,0.551445370845575,0.522928256408964,0.493885326972993,0.464355972652565,0.434379823559036,0.403996669297929,0.37324637941996,0.342168825062845,0.310803802015184,0.279190955426689,0.247369706381208,0.215379180540357,0.183258139056296,0.151044911942052,0.118777334077185,0.0864926840151745,0.0542276257470979,0.0220181535636901,-0.0101004598549868,-0.0420937120063599,-0.0739279156864204,-0.105570240576841,-0.136988751224171,-0.168152441351604,-0.19903126445843,-0.229596160676974,-0.259819079871539,-0.289673000978595,-0.319131947602031,-0.34817099989178,-0.376766302748401,-0.404895070410168,-0.432535587492969,-0.459667206566631,-0.486270342364183,-0.512326462733066,-0.537818076449196,-0.562728718026186,-0.587042929662786,-0.610746240481735,-0.633825143222651,-0.656267068560313,-0.678060357227622,-0.699194230129744,-0.719658756642272,-0.739444821291797,-0.758544089021933,-0.776948969251668,-0.794652578935814,-0.811648704839351,-0.827931765238602,-0.843496771262377,-0.858339288085541,-0.872455396185892,-0.885841652872758,-0.898495054292363,-0.910412998110834,-0.921593247070625,-0.932033893610309,-0.941733325730977,-0.950690194285079,-0.958903381855366,-0.966371973382711,-0.973095228692076,-0.979072557055726,-0.984303493922055,-0.988787679927157,-0.992524842294457,-0.995514778715606,-0.997757343793191,-0.999252438112957,-1
"3","BRVO","FASHION QUEENS",-0.875641885302604,-0.871881329013408,-0.864375239247166,-0.853153602160777,-0.838261248555929,-0.819757676415432,-0.797716815376696,-0.772226734072598,-0.743389291495626,-0.711319733762225,-0.67614623786999,-0.638009404249675,-0.597061700116257,-0.553466855817641,-0.50739921656523,-0.459043052106886,-0.408591827068894,-0.356247434848972,-0.302219398086356,-0.246724038867041,-0.189983621941877,-0.132225474341865,-0.0736810848682824,-0.014585187014853,0.0448251710552796,0.104311565803845,0.163635143172296,0.222557565264438,0.280841955116763,0.33825383582378,0.394562060307829,0.449539728059671,0.50296508522743,0.554622404497113,0.604302841287532,0.651805262875911,0.696937047177104,0.7395148480191,0.779365323889597,0.816325827272517,0.850245051848804,0.880983635002067,0.908414713245929,0.932424428375749,0.952912382341729,0.969792039042785,0.982991071449987,0.992451652684115,0.998130689892987,1,0.998046426624648,0.992271897707999,0.982693423610034,0.969343035680784,0.952267665542017,0.931528965550301,0.907203071144378,0.879380306009194,0.848164831214542,0.813674239707568,0.776039097753904,0.735402435131767,0.691919186085552,0.645755583239874,0.597088506860691,0.546104792026473,0.493000496438504,0.437980131754822,0.381255861476409,0.323046668546221,0.263577495941337,0.203078363645167,0.141783465479959,0.0799302493594438,0.0177584845869987,-0.0444906801240798,-0.106575664194844,-0.168255404554071,-0.229290303098023,-0.289443168501196,-0.348480148664965,-0.40617165012768,-0.462293240811237,-0.51662653254468,-0.568960039885077,-0.619090011849328,-0.666821233277294,-0.711967792666353,-0.754353813449645,-0.793814145834386,-0.830195016472105,-0.863354633398941,-0.893163743860483,-0.919506142821389,-0.942279130154553,-0.96139391470683,-0.976775963647952,-0.988365295724939,-0.996116717265534,-1
"4","BRVO","GGD",1,0.998338428534774,0.995018922236877,0.990048742901795,0.98343875459113,0.975203389393257,0.965360601968065,0.953931813043821,0.940941842074977,0.926418829309726,0.910394147555114,0.8929023039654,0.873980832216005,0.853670175460594,0.832013560502543,0.809056863644022,0.784848468706165,0.759439117742114,0.732881754990956,0.705231364644796,0.676544803023102,0.646880625768158,0.616298910692647,0.584861076925334,0.552629701013042,0.519668330646991,0.48604129668871,0.451813524175408,0.417050342986619,0.381817298853328,0.34617996538749,0.310203757804017,0.273953748998809,0.237494488635416,0.20088982587943,0.16420273640371,0.127495154269213,0.090827809265587,0.0542600702727423,0.0178497951796519,-0.018346812130417,-0.0542753372480683,-0.0898832827098839,-0.125120187057548,-0.159937735101073,-0.194289859038701,-0.228132830122784,-0.261425340598825,-0.294128575683781,-0.326206275389397,-0.357624786036727,-0.388353101348966,-0.418362893050894,-0.44762853094477,-0.476127092473931,-0.503838361826767,-0.530744818674753,-0.556831616678849,-0.582086551938522,-0.606500021596879,-0.630064972853674,-0.652776842675098,-0.674633488525286,-0.695635110479036,-0.715784165108332,-0.735085271566717,-0.753545110325299,-0.771172315041961,-0.787977358071198,-0.803972430145816,-0.819171314783259,-0.8335892579887,-0.847242833844031,-0.860149806586459,-0.872328989792595,-0.883800103293562,-0.89458362845371,-0.904700662450148,-0.914172772192203,-0.923021848519298,-0.931269961312594,-0.938939216149902,-0.946051613125088,-0.952628908442407,-0.958692479382861,-0.964263193224046,-0.969361280676896,-0.974006214382431,-0.978216592989169,-0.982010031307218,-0.985403057008555,-0.988411014314513,-0.991047975081212,-0.993326657661889,-0.995258353891543,-0.996852864504622,-0.998118443260365,-0.999061750013282,-0.999687812928152,-1
"5","BRVO","LADIES OF LONDON",0.868567107523184,0.869202204032514,0.870467161731105,0.872351533333325,0.874839706202128,0.877910972033621,0.881539619329031,0.885695048278543,0.890341907590363,0.895440252709181,0.900945724781113,0.906809749637839,0.912979755990981,0.919399411949501,0.926008878898015,0.932745081702924,0.939541994146395,0.946330938425679,0.953040897497368,0.95959883899316,0.96593004938567,0.971958477040222,0.977607082751115,0.982798196329298,0.987453877782227,0.99149628160664,0.994848022700526,0.997432542392327,0.999174473082977,1,0.999837218572575,0.998616485951922,0.996270765222883,0.992735960879804,0.987951244172773,0.981859366968742,0.974406962816096,0.965544833950306,0.95522822303261,0.943417068472768,0.930076242250532,0.915175769218662,0.8986910269423,0.880602925205651,0.860898064396221,0.839568872059601,0.816613717003328,0.792037000416359,0.76584922356101,0.738067031686239,0.708713233904756,0.677816798871043,0.645412826192792,0.611542493603969,0.576252980023398,0.539597364718101,0.501634502885093,0.46242887805872,0.422050431842442,0.38057437155392,0.338080956459973,0.294655263363077,0.250386932383289,0.205369893858383,0.159702077360419,0.113485103898434,0.0668239624443245,0.0198266719820059,-0.0273960696618462,-0.0747312488936891,-0.122063909975598,-0.169277537791226,-0.216254448314665,-0.262876185309637,-0.309023921760271,-0.354578864514415,-0.399422660606006,-0.443437803714599,-0.486508039217793,-0.528518766295894,-0.569357435557868,-0.608913940673268,-0.647081002516388,-0.683754544356344,-0.718834056659952,-0.752222950112998,-0.783828895509802,-0.813564149210396,-0.841345862919347,-0.867096376599674,-0.890743493399455,-0.912220735537289,-0.931467580165384,-0.948429674305598,-0.963059028033764,-0.97531418517095,-0.985160370826444,-0.992569615226079,-0.997520853350387,-1
"6","BRVO","MANZOD WITH CHILDREN",1,0.997235651290942,0.991715411987083,0.983456167355964,0.972483168016273,0.958829937533659,0.942538149772046,0.923657476474932,0.902245405666325,0.878367031573764,0.852094816885903,0.823508328264038,0.792693946130168,0.759744549853445,0.724759179551682,0.687842675814663,0.649105298740907,0.608662327759002,0.566633643778339,0.523143295281686,0.478319050033315,0.432291934131201,0.385195760179674,0.337166646399971,0.288342528529914,0.238862666390608,0.188867147017207,0.138496386262674,0.0878906307876872,0.0371894623467264,-0.0134686937303244,-0.0639470539798406,-0.114110954313621,-0.163828317772537,-0.212970110741532,-0.261410785889668,-0.309028710152576,-0.355706576134859,-0.40133179537656,-0.445796872000438,-0.488999755335181,-0.530844170193603,-0.57123992357388,-0.610103186645703,-0.647356750981482,-0.682930258094988,-0.716760401455729,-0.748791100256483,-0.778973644323261,-0.807266809671235,-0.833636944326257,-0.858058024149128,-0.880511678518281,-0.900987185845531,-0.919481439018569,-0.935998880982442,-0.950551410789917,-0.963158260566931,-0.973845843953753,-0.982647576694668,-0.989603670158405,-0.994760898677815,-0.998172341700006,-0.999897101836836,-1,-0.998551248894566,-0.995626106229275,-0.991304509081021,-0.985670690924208,-0.978812782903039,-0.970822400985726,-0.961794220694141,-0.951825541150104,-0.941015840220328,-0.929466322575706,-0.917279462507137,-0.904558543359172,-0.891407195454566,-0.877928934387068,-0.864226701556638,-0.850402408810644,-0.836556489036612,-0.822787454526681,-0.809191464901416,-0.795861906340888,-0.782888983824335,-0.770359328026354,-0.758355618457624,-0.746956224371985,-0.736234864889381,-0.726260289706235,-0.71709598168129,-0.708799882496443,-0.701424142498748,-0.695014895732057,-0.689612061065037,-0.685249170217026,-0.68195322337464,-0.679744572980874,-0.67863683616483
"7","BRVO","MARRIED TO MED ATL",1,0.999892163613073,0.999673995589252,0.999340518158726,0.998884296438983,0.998295476413054,0.997561835320411,0.996668844250313,0.995599742676436,0.994335624621597,0.992855536092831,0.991136583379728,0.989154051763366,0.986881534139374,0.984291069016817,0.981353287314957,0.97803756734258,0.974312197309694,0.970144544689117,0.965501231715955,0.960348316286223,0.95465147749218,0.948376205011241,0.941487991547807,0.93395252751302,0.925735897116404,0.916804775035627,0.907126622826205,0.89666988423199,0.8854041785596,0.873300491285721,0.86033136107525,0.846471062400622,0.831695782968392,0.815983795177886,0.799315620858828,0.781674188559825,0.763044982687618,0.743416183827807,0.722778799611329,0.701126785527106,0.678457155119865,0.654770079053016,0.6300689725595,0.604360570848522,0.577654992082838,0.549965787589678,0.521309979018192,0.491708082207312,0.461184117579995,0.429765606932664,0.397483556542128,0.364372426566122,0.33047008676769,0.295817758647607,0.260459944122829,0.224444340942295,0.18782174508405,0.150645940429411,0.112973576060643,0.0748640315780016,0.036379270879968,-0.00241631510325446,-0.0414560761884244,-0.0806712806532129,-0.119991302268259,-0.159343815992323,-0.198655001640148,-0.237849754799967,-0.276851904247585,-0.315584435076988,-0.35396971674333,-0.391929735193234,-0.429386328239542,-0.466261423323182,-0.502477276793584,-0.537956713831234,-0.572623368131554,-0.606401920468181,-0.639218335256177,-0.671000094241434,-0.70167642645174,-0.731178533557509,-0.759439809805991,-0.786396055711925,-0.811985684709773,-0.836149921998115,-0.858832994835069,-0.879982313574843,-0.899548642769501,-0.917486261696686,-0.933753113713053,-0.948310943874721,-0.961125424309546,-0.972166266871745,-0.981407322656769,-0.988826668003435,-0.994406676660907,-0.998134077849853,-1
"8","BRVO","NEWLYWEDS 1ST YEAR",1,0.999324601774044,0.997973549979448,0.995946337821078,0.993242214813603,0.989860198379466,0.98579908922827,0.981057490445531,0.975633830201299,0.969526387972057,0.962733324152653,0.955252712918881,0.947082578185748,0.938220932491539,0.928665818623524,0.918415353787719,0.907467776112395,0.895821493263244,0.883475132937254,0.870427594992347,0.856678104960974,0.842226268687946,0.827072127825952,0.811216215916522,0.794659614779613,0.777404010931525,0.759451751748626,0.740805901093208,0.721470294117936,0.701449590966562,0.680749329091044,0.659375973908825,0.637336967528785,0.614640775280291,0.591296929786836,0.567316072333834,0.542709991289372,0.517491657346948,0.491675255370366,0.465276212633218,0.438311223258357,0.410798268676714,0.382756633939511,0.354206919733352,0.325171049963823,0.29567227478993,0.265735169009037,0.235385625709709,0.204650845128054,0.173559318661707,0.142140808014378,0.11042631946287,0.0784480732576389,0.0462394681870504,0.0138350413546999,-0.0187295767618711,-0.0514177118838527,-0.0841917000294543,-0.117012946013739,-0.149841986208106,-0.182638555400108,-0.215361657577473,-0.247969640443925,-0.280420273458877,-0.312670829178207,-0.34467816765931,-0.376398823680424,-0.407789096511986,-0.438805141966391,-0.469403066442262,-0.499539022670024,-0.529169306857383,-0.558250456926231,-0.586739351526543,-0.614593309508061,-0.641770189526991,-0.66822848946252,-0.693927445316844,-0.718827129272415,-0.742888546581427,-0.766073730965043,-0.788345838203603,-0.809669237603958,-0.830009601036177,-0.849333989239162,-0.867610935103065,-0.88481052364595,-0.900904468412687,-0.915866184035689,-0.929670854709678,-0.942295498346225,-0.95371902618819,-0.963922297679503,-0.972888170401685,-0.980601544905333,-0.987049404282148,-0.992220848341081,-0.996107122270712,-0.998701639688883,-1
"9","BRVO","ODD MOM OUT",1,0.997179080940726,0.991545993736566,0.983118208031144,0.971921847951723,0.957991596052065,0.941370565815894,0.922110143214885,0.900269797934908,0.875916865001694,0.849126297651663,0.819980392404803,0.788568487404051,0.754986635188855,0.719337251169294,0.681728739160919,0.642275095428781,0.601095492771902,0.558313846256044,0.514058362273089,0.468461072669065,0.421657355739835,0.373785445943355,0.324985934220017,0.275401260847835,0.225175202786842,0.174452357487102,0.12337762514693,0.0720956914123951,0.0207505125058209,-0.0305151952401642,-0.0815604594853443,-0.132246547690315,-0.182437452733564,-0.232000366481816,-0.280806139507056,-0.328729725199466,-0.37565060658833,-0.421453204252213,-0.46602726377542,-0.509268221289405,-0.551077545725168,-0.591363056495414,-0.630039215422979,-0.667027391834335,-0.702256099843486,-0.73566120696192,-0.767186113283843,-0.796781900612493,-0.824407451012274,-0.850029534392365,-0.873622864849863,-0.895170125623912,-0.914661962636205,-0.932096946717159,-0.947481504740555,-0.960829820011942,-0.972163702377224,-0.981512428636959,-0.988912553968777,-0.99440769517418,-0.998048286676713,-0.999891310305385,-1,-0.998443522673284,-0.995296636557964,-0.990639328454942,-0.984556431380983,-0.977137224190716,-0.968475014817769,-0.958666708843357,-0.947812365157358,-0.936014740526555,-0.923378824927186,-0.910011369533971,-0.896020409285357,-0.881514781964585,-0.866603645748381,-0.851395997179524,-0.83600019151618,-0.820523467399808,-0.805071477764634,-0.789747828885255,-0.774653629424928,-0.75988705130579,-0.745542904173606,-0.73171222517404,-0.718481885694986,-0.705934216660527,-0.694146653886714,-0.683191404928163,-0.673135138757432,-0.664038699526901,-0.655956845565624,-0.648938014661826,-0.643024116575729,-0.638250353617671,-0.634645070013463,-0.632229630663022,-0.631018329780011
"10","BRVO","PEOPLES COUCH",-1,-0.999727599565874,-0.999180952906766,-0.998356378607971,-0.997248379921959,-0.995849675097675,-0.994151237619887,-0.992142346188418,-0.989810644225858,-0.987142208661936,-0.984121627703319,-0.980732087259439,-0.976955465657925,-0.972772436247935,-0.968162577455725,-0.963104489824797,-0.957575919542765,-0.951553887928852,-0.945014826329894,-0.937934715848839,-0.930289231308197,-0.922053888831766,-0.913204196411261,-0.903715806810442,-0.89356467214776,-0.88272719948972,-0.871180406781048,-0.858902078434243,-0.845870919900459,-0.832066710545681,-0.817470454160893,-0.802064526442529,-0.78583281878952,-0.768760877776263,-0.750836039676103,-0.732047559427975,-0.712386733459319,-0.691847015801115,-0.67042412695615,-0.648116155008895,-0.624923648494823,-0.600849700578498,-0.575900024122966,-0.550083017268078,-0.523409819171956,-0.495894355607916,-0.467553374148486,-0.438406468708734,-0.408476093262565,-0.377787564588051,-0.346369053940721,-0.314251567597383,-0.281468916256663,-0.248057673326499,-0.214057122172686,-0.179509192446262,-0.144458385650873,-0.108951690154001,-0.0730384858880438,-0.0367704390283596,-0.000201386975568374,0.0366127859916887,0.0736142819897587,0.11074353128893,0.147939342084065,0.185139057770045,0.222278721184451,0.259293245251252,0.296116589432689,0.332681941372411,0.368921903090907,0.40476868107486,0.440154279585197,0.47501069649412,0.509270120949867,0.542865132158843,0.5757288985686,0.607795376731536,0.638999509128595,0.669277420234203,0.698566610108551,0.726806144810964,0.753936842938352,0.779901457605807,0.804644853202085,0.828114176270865,0.850259019889553,0.871031580940511,0.89038680969513,0.908282551159012,0.924679677656347,0.93954221216363,0.952837441936616,0.964536022010069,0.974612068187126,0.983043239173792,0.989810807554186,0.994899719343392,0.998298641897053,1
