"","Show_Name","cluster_kmeans_5","Network","Season_num","dct_values","period"
"3331","DARK MATTER","2","SYFY",1,0.0190035564313553,31
"3332","DARK MATTER","2","SYFY",1,-0.0303573864175786,32
"3333","DARK MATTER","2","SYFY",1,-0.0794838083695162,33
"3334","DARK MATTER","2","SYFY",1,-0.128250891958939,34
"3335","DARK MATTER","2","SYFY",1,-0.176536580461464,35
"3336","DARK MATTER","2","SYFY",1,-0.224221990115067,36
"3337","DARK MATTER","2","SYFY",1,-0.271191808562644,37
"3338","DARK MATTER","2","SYFY",1,-0.317334678013278,38
"3339","DARK MATTER","2","SYFY",1,-0.362543561681023,39
"3340","DARK MATTER","2","SYFY",1,-0.406716092127091,40
"3341","DARK MATTER","2","SYFY",1,-0.449754900203857,41
"3342","DARK MATTER","2","SYFY",1,-0.491567923376513,42
"3343","DARK MATTER","2","SYFY",1,-0.532068692280541,43
"3344","DARK MATTER","2","SYFY",1,-0.571176594459863,44
"3345","DARK MATTER","2","SYFY",1,-0.608817114321291,45
"3346","DARK MATTER","2","SYFY",1,-0.644922048435474,46
"3347","DARK MATTER","2","SYFY",1,-0.67942969541237,47
"3348","DARK MATTER","2","SYFY",1,-0.712285019680159,48
"3349","DARK MATTER","2","SYFY",1,-0.7434397885999,49
"3350","DARK MATTER","2","SYFY",1,-0.772852682453867,50
"3351","DARK MATTER","2","SYFY",1,-0.800489376952765,51
"3352","DARK MATTER","2","SYFY",1,-0.826322598015744,52
"3353","DARK MATTER","2","SYFY",1,-0.850332148686618,53
"3354","DARK MATTER","2","SYFY",1,-0.872504908159747,54
"3355","DARK MATTER","2","SYFY",1,-0.892834802999039,55
"3356","DARK MATTER","2","SYFY",1,-0.91132275074316,56
"3357","DARK MATTER","2","SYFY",1,-0.927976576198836,57
"3358","DARK MATTER","2","SYFY",1,-0.942810900831626,58
"3359","DARK MATTER","2","SYFY",1,-0.955847005769376,59
"3360","DARK MATTER","2","SYFY",1,-0.967112669037271,60
"3361","DARK MATTER","2","SYFY",1,-0.976641977744577,61
"3362","DARK MATTER","2","SYFY",1,-0.984475116041463,62
"3363","DARK MATTER","2","SYFY",1,-0.990658129759224,63
"3364","DARK MATTER","2","SYFY",1,-0.995242668738547,64
"3365","DARK MATTER","2","SYFY",1,-0.998285707937656,65
"3366","DARK MATTER","2","SYFY",1,-0.999849248495093,66
"3367","DARK MATTER","2","SYFY",1,-1,67
"3368","DARK MATTER","2","SYFY",1,-0.998809045295919,68
"3369","DARK MATTER","2","SYFY",1,-0.996351489211957,69
"3370","DARK MATTER","2","SYFY",1,-0.992706092677423,70
"3371","DARK MATTER","2","SYFY",1,-0.987954893732491,71
"3372","DARK MATTER","2","SYFY",1,-0.982182816997841,72
"3373","DARK MATTER","2","SYFY",1,-0.975477273210423,73
"3374","DARK MATTER","2","SYFY",1,-0.967927750470229,74
"3375","DARK MATTER","2","SYFY",1,-0.959625398874192,75
"3376","DARK MATTER","2","SYFY",1,-0.95066261023784,76
"3377","DARK MATTER","2","SYFY",1,-0.941132594623132,77
"3378","DARK MATTER","2","SYFY",1,-0.931128955401766,78
"3379","DARK MATTER","2","SYFY",1,-0.920745264587352,79
"3380","DARK MATTER","2","SYFY",1,-0.910074640166928,80
"3381","DARK MATTER","2","SYFY",1,-0.899209327152603,81
"3382","DARK MATTER","2","SYFY",1,-0.888240284057478,82
"3383","DARK MATTER","2","SYFY",1,-0.877256776476687,83
"3384","DARK MATTER","2","SYFY",1,-0.866345979424315,84
"3385","DARK MATTER","2","SYFY",1,-0.855592590040377,85
"3386","DARK MATTER","2","SYFY",1,-0.845078452238998,86
"3387","DARK MATTER","2","SYFY",1,-0.834882194819706,87
"3388","DARK MATTER","2","SYFY",1,-0.825078884508405,88
"3389","DARK MATTER","2","SYFY",1,-0.815739695333505,89
"3390","DARK MATTER","2","SYFY",1,-0.806931595675924,90
