"","name","average.between","average.within","wb.ratio","widestgap","dunn2","avg.silwidth","within.cluster.ss","cluster.number","algorithm","season","stream","data"
"1","kmeans_C3_raw_cont_3cl",9.42321008128812,3.09267560154308,0.328197670949126,4.63486466960819,0.908648882755918,0.516955870681611,478.094568073305,3,"kmeans","cont","C3","raw"
"2","kmeans_C3_raw_cont_5cl",9.23158672678491,2.21665777150043,0.24011666001782,4.49769693785733,1.0535110145419,0.555758319200017,208.355976126901,5,"kmeans","cont","C3","raw"
"3","kmeans_C3_raw_s1_3cl",11.7670037032523,4.03404046982959,0.342826480858048,4.18582688346476,2.51099457342386,0.583656629073967,574.424091177613,3,"kmeans","s1","C3","raw"
"4","kmeans_C3_raw_s1_4cl",11.3606788363008,3.4263877183978,0.30160061452045,3.58568335955179,2.0972241871466,0.578467104860131,397.916109420876,4,"kmeans","s1","C3","raw"
"5","kmeans_C3_raw_s1_5cl",10.8053979362995,2.57376066942895,0.238192122548554,3.29279309721367,1.87632519095835,0.557794840832503,258.672787207436,5,"kmeans","s1","C3","raw"
"6","kmeans_C3_raw_s2_3cl",10.5280441471376,3.60115353250953,0.342053422476257,3.27423377603174,1.83180871318604,0.555859515563288,468.589866216691,3,"kmeans","s2","C3","raw"
"7","kmeans_C3_raw_s2_4cl",9.88254046521122,2.77572056374596,0.28087115590542,3.27423377603174,1.29779511943923,0.560728962466498,292.160246251547,4,"kmeans","s2","C3","raw"
"8","kmeans_C3_raw_s2_5cl",9.76415742876267,2.26887506699099,0.23236772691799,3.27423377603174,2.09307699530946,0.578604363080795,171.572175657308,5,"kmeans","s2","C3","raw"
"9","kmeans_C3_raw_sep_3cl",14.9482007998405,9.18985699576103,0.614780141022665,10.6330366924102,1.17479707966509,0.298091695172997,2483.7159719833,3,"kmeans","sep","C3","raw"
"10","kmeans_C3_raw_sep_5cl",14.1659893874362,7.60891606498811,0.537125636401819,10.6330366924102,0.948191677494587,0.298694288211145,1632.17654439715,5,"kmeans","sep","C3","raw"
"11","kmeans_C3_growth_cont_2cl",8.1153969237563,8.26228011191015,1.01809932274833,9.0966601015803,0.968876715670701,-0.0164048461160437,2016.90569572807,2,"kmeans","cont","C3","growth"
"12","kmeans_C3_growth_cont_3cl",11.728242572118,3.89134190821689,0.331792413423297,4.95259565108952,2.70556373258971,0.606845505139433,490.28624787052,3,"kmeans","cont","C3","growth"
"13","kmeans_C3_growth_cont_5cl",10.7058254322362,2.57904931553127,0.240901491609,3.87896917730738,1.9919113447005,0.59148689154247,211.26997583971,5,"kmeans","cont","C3","growth"
"14","kmeans_C3_growth_s1_3cl",10.9160379216235,4.27269698495585,0.391414633737403,5.00826367230919,1.72326793663453,0.51296938205857,658.161036609495,3,"kmeans","s1","C3","growth"
"15","kmeans_C3_growth_s1_4cl",10.7642222409697,3.22471805856418,0.299577432198544,2.68098595194496,2.3437467804366,0.572098447157305,338.244295517589,4,"kmeans","s1","C3","growth"
"16","kmeans_C3_growth_s1_5cl",10.0644310688685,2.75977819927445,0.274211048830277,2.68098595194496,1.22689528393775,0.523738624645376,253.958773075897,5,"kmeans","s1","C3","growth"
"17","kmeans_C3_growth_s2_2cl",11.6591420996554,4.87185433786466,0.41785701694198,6.35970128742627,2.08477165167846,0.570757478800926,855.531852236717,2,"kmeans","s2","C3","growth"
"18","kmeans_C3_growth_s2_3cl",11.3526472461219,3.64090028334122,0.320709364468712,3.25925714991621,2.0344620941538,0.614450841987508,473.754518762951,3,"kmeans","s2","C3","growth"
"19","kmeans_C3_growth_s2_5cl",9.77413652860193,2.18948078959792,0.224007592199154,3.25925714991621,1.18116306725374,0.560148686268901,186.773529736288,5,"kmeans","s2","C3","growth"
"20","kmeans_C3_growth_sep_4cl",14.4013892348432,8.36501225757193,0.580847591934625,10.1728698263845,1.20819832096119,0.326707012132341,1881.55770999182,4,"kmeans","sep","C3","growth"
"21","kmeans_C3_growth_sep_5cl",14.1374679635958,7.22429223890623,0.511003261511108,7.97326215127207,1.3024969659156,0.354058025657579,1478.93023575524,5,"kmeans","sep","C3","growth"
"22","kmeans_LS_raw_cont_3cl",9.18560886902141,2.73744718989026,0.29801477821708,4.91540124861303,0.981032358355708,0.539768297962487,380.124918602315,3,"kmeans","cont","LS","raw"
"23","kmeans_LS_raw_cont_5cl",8.62709965003467,1.76048225664606,0.204064207910128,4.91540124861303,0.931490715651495,0.525252230221083,177.59300771762,5,"kmeans","cont","LS","raw"
"24","kmeans_LS_raw_s1_3cl",11.4881244669292,3.90425468336877,0.339851356468843,4.05244379781023,2.29674515350906,0.589983234862833,568.15667336326,3,"kmeans","s1","LS","raw"
"25","kmeans_LS_raw_s1_4cl",11.2050330454715,3.24044712217977,0.289195677427243,4.12005180652968,2.32009368323333,0.623581339254835,339.509172107733,4,"kmeans","s1","LS","raw"
"26","kmeans_LS_raw_s1_5cl",10.7824695307384,2.36738482921843,0.21955868481423,4.12005180652968,2.08325189654967,0.628232463919985,195.528238705848,5,"kmeans","s1","LS","raw"
"27","kmeans_LS_raw_s2_3cl",10.7652669319448,4.23536718319457,0.393428905197562,6.36577762367761,1.75956066764793,0.508531714469454,629.834492552422,3,"kmeans","s2","LS","raw"
"28","kmeans_LS_raw_s2_4cl",10.3366882418335,3.28526064167939,0.317825261323414,6.36577762367761,1.8039959578741,0.514284705044319,383.684475484318,4,"kmeans","s2","LS","raw"
"29","kmeans_LS_raw_s2_5cl",10.0881249218327,2.52800494674581,0.25059215328259,6.00294441728439,1.37317575805404,0.563034435599622,238.688790828686,5,"kmeans","s2","LS","raw"
