"","name","average.between","average.within","wb.ratio","widestgap","dunn2","avg.silwidth","within.cluster.ss","cluster.number","algorithm","season","stream","data"
"1","kmeans_LS_raw_cont_3cl",9.18560886902141,2.73744718989026,0.29801477821708,4.91540124861303,0.981032358355708,0.539768297962487,380.124918602315,3,"kmeans","cont","LS","raw"
"2","kmeans_LS_raw_cont_5cl",8.62709965003467,1.76048225664606,0.204064207910128,4.91540124861303,0.931490715651495,0.525252230221083,177.59300771762,5,"kmeans","cont","LS","raw"
"3","kmeans_LS_raw_s1_3cl",11.4881244669292,3.90425468336877,0.339851356468843,4.05244379781023,2.29674515350906,0.589983234862833,568.15667336326,3,"kmeans","s1","LS","raw"
"4","kmeans_LS_raw_s1_4cl",11.2050330454715,3.24044712217977,0.289195677427243,4.12005180652968,2.32009368323333,0.623581339254835,339.509172107733,4,"kmeans","s1","LS","raw"
"5","kmeans_LS_raw_s1_5cl",10.7824695307384,2.36738482921843,0.21955868481423,4.12005180652968,2.08325189654967,0.628232463919985,195.528238705848,5,"kmeans","s1","LS","raw"
"6","kmeans_LS_raw_s2_3cl",10.7652669319448,4.23536718319457,0.393428905197562,6.36577762367761,1.75956066764793,0.508531714469454,629.834492552422,3,"kmeans","s2","LS","raw"
"7","kmeans_LS_raw_s2_4cl",10.3366882418335,3.28526064167939,0.317825261323414,6.36577762367761,1.8039959578741,0.514284705044319,383.684475484318,4,"kmeans","s2","LS","raw"
"8","kmeans_LS_raw_s2_5cl",10.0881249218327,2.52800494674581,0.25059215328259,6.00294441728439,1.37317575805404,0.563034435599622,238.688790828686,5,"kmeans","s2","LS","raw"
"9","kmeans_LS_raw_sep_3cl",15.0414576090778,9.91722880997241,0.659326314491435,9.92698941136025,1.23026206057929,0.268659347580707,2664.62841616375,3,"kmeans","sep","LS","raw"
"10","kmeans_LS_raw_sep_4cl",14.6827941760161,8.99372088936808,0.612534697520927,7.47807981673926,1.3950556582322,0.314454480260771,2101.89095168586,4,"kmeans","sep","LS","raw"
"11","kmeans_LS_raw_sep_5cl",14.4066645710036,7.51689063732229,0.521764812408528,7.47807981673926,1.32150923344367,0.359051700866171,1545.95437118949,5,"kmeans","sep","LS","raw"
