"","name","average.between","average.within","wb.ratio","widestgap","dunn2","avg.silwidth","within.cluster.ss","cluster.number","algorithm","season","stream","data"
"1","kmeans_LS_growth_cont_2cl",8.13976638050498,8.33278616684816,1.02371318503753,6.4669368846538,0.944438865270249,-0.0234152536209694,2028.48434472534,2,"kmeans","cont","LS","growth"
"2","kmeans_LS_growth_cont_3cl",11.3243238007403,4.59371627755944,0.405650382167553,4.39039673577504,2.04714383740209,0.495062015240237,676.4637157423,3,"kmeans","cont","LS","growth"
"3","kmeans_LS_growth_cont_5cl",10.6079845253839,2.87084459705865,0.270630541568854,2.36428761718778,1.78712077513169,0.538181206739442,263.948488085496,5,"kmeans","cont","LS","growth"
"4","kmeans_LS_growth_s1_4cl",10.6664730917605,3.05437999808669,0.286353321459752,2.87825023172627,1.9150808624613,0.564501825113734,341.940191256145,4,"kmeans","s1","LS","growth"
"5","kmeans_LS_growth_s1_5cl",10.3521615869697,2.50941686205365,0.242405109403651,2.87825023172627,1.6528083771422,0.581124738841803,233.644592158529,5,"kmeans","s1","LS","growth"
"6","kmeans_LS_growth_s2_2cl",11.6247907570252,4.9967707312591,0.429837477138193,6.92321556113481,1.8471757720367,0.548471866168033,888.975470539535,2,"kmeans","s2","LS","growth"
"7","kmeans_LS_growth_s2_3cl",11.2573583159979,4.10871311392609,0.364980219923103,6.92321556113481,1.95465164818259,0.56087308103542,579.69287215914,3,"kmeans","s2","LS","growth"
"8","kmeans_LS_growth_s2_5cl",9.96735398050132,2.47777976230937,0.248589522069401,6.92321556113481,1.8302299511763,0.568221083430829,215.59652169334,5,"kmeans","s2","LS","growth"
"9","kmeans_LS_growth_sep_3cl",14.6039861158751,9.29753066377744,0.636643351343003,9.36990948647057,1.15292349205125,0.285462674281766,2371.92190201856,3,"kmeans","sep","LS","growth"
"10","kmeans_LS_growth_sep_5cl",14.2083364680646,7.34615811621929,0.517031542202768,8.64071355439702,1.27820529043236,0.337753565049102,1464.48967816334,5,"kmeans","sep","LS","growth"
