"","name","average.between","average.within","wb.ratio","widestgap","dunn2","avg.silwidth","within.cluster.ss","cluster.number","algorithm","season","stream","data"
"1","pca_C3_LS_growth_avg_s1_3cl",8.63777252931752,8.55208965718256,0.99008044355832,7.21914876517864,0.885609838579667,-0.067967524837814,2062.33148988334,3,"PCA","s1","C3+LS","growth avg"
"2","pca_C3_LS_growth_diff_s1_3cl",9.0853364194641,9.20971494587264,1.01369002980914,8.16025135468402,0.927218969495893,-0.0727161855999584,2298.55037774774,3,"PCA","s1","C3+LS","growth diff"
"3","pca_C3_LS_growth_s1_4cl",14.6377922768147,6.84647602152114,0.46772599938896,9.49632085671394,0.812122223215378,0.311087422315188,1673.9344592924,4,"PCA","s1","C3+LS","growth"
